9780002005883|2004	Gilead :: novel readers critics have been eagerly anticipating over decade gilead astonishingly imagined story remarkable lives john ames preacher son preacher grandson both maternal paternal preachers its gilead iowa towards end reverend amess life he absorbed recording his familys story legacy young son he never see grow up haunted his grandfathers presence john tells rift between his grandfather his father elder angry visionary who fought abolitionist cause his son ardent pacifist he troubled too his prodigal namesake jack john ames boughton his best friends lost son who returns gilead searching forgiveness redemption told john amess joyous rambling voice finds beauty humour truth smallest lifes details gilead song celebration acceptance best worst world has offer its heart tale sacred bonds between fathers sons pitchperfect style story set dazzle critics readers alike
9780002261982|2000	Spider's Web :: new christie christmas fulllength novel adapted from her acclaimed play charles osborne following black coffee unexpected guest comes final agatha christie play novelisation bringing her superb storytelling new legion fans clarissa wife foreign office diplomat given daydreaming supposing i were come down one morning find dead body library what should i do she muses clarissa has her chance find out when she discovers body drawingroom her house kent desperate dispose body before her husband comes home important foreign politician clarissa persuades her three house guests become accessories accomplices seems murdered man unknown certain members house party which ones search begins murderer motive while same time trying persuade police inspector has been murder all spiders web written specifically margaret lockwood opened first theatre royal nottingham before moving savoy theatre london december mousetrap wi
9780006163831|1982	The One Tree :: volume two stephen donaldsons acclaimed second trilogy featuing compelling antihero thomas covenant
9780006178736|1993	Rage of angels :: memorable mesmerizing heroine jennifer brilliant beautiful attorney way up until mafias schemes win her hatred implacable enemy love more destructive than hate dangerous dramatic world dark arena organized crime flashbulb lit courtrooms where ambitious prosecutors begin climb political power
9780006280897|2002	The Four Loves :: lewis work nature love divides love four categories affection friendship eros charity first three come naturally humanity charity however giftlove god divine without supernatural love natural loves become distorted even dangerous
9780006280934|2002	The Problem of Pain :: problem pain cs lewis one most renowned christian authors thinkers examines universally applicable question within human condition god good allpowerful why does he allow his creatures suffer pain his signature wealth compassion insight cs lewis offers answers crucial questions shares his hope wisdom help heal world hungering true understanding human natureamazon
9780006353287|1977	An Autobiography :: donation
9780006380832|1998	Empires of the Monsoon :: until vasco da gama discovered searoute east almost nothing known west exotic cultures wealth indian ocean its peoples civilization its destruction hands west richard hall recreates book halls history exploration exploitation chinese arab travellers portuguese dutch british alike one brutality betrayal colonial ambition
9780006470229|1994	The Gap Into Madness :: newcover reissue fourth book bestselling fivevolume sf series created worldfamous author thomas covenant chronicles acclaimed best work his career events were moving amnion had intended once again humans had been false dealings aliens planetoid thanatos minor exploded atoms trumpet hurtled space only one step ahead hostile pursuers board were morn hyland her forcegrown son davies cyborg angus thermopyle captain nick succorso old enemies thrown together desperate bid survival both amnion umcp immediate capture fleeing ship secrets contained imperative trumpets exhausted crew only hope lay illegal lab distant binary solar system valdor industrial would journey unpredictable danger from which all would return
9780006472612|1982	Master of the Game :: kate blackwell enigma one most powerful women world her ninetieth birthday celebrations ghosts absent friends absent enemies
9780006479673|1994	If Tomorrow Comes :: one sidney sheldons most popular bestselling titles repackaged reissued new generation fans
9780006480099|1996	Assassin's Apprentice :: fantasyroman
9780006482079|1995	Warhost of Vastmark :: tricked once more his wily halfbrother lysaer lord light arrives tiny harbor town merior find arithons ship yards have been abandoned meticulously destroyed master shadow has disappeared thin air meanwhile arithon mad prophet dakar traveling foot through treacherous kelhorn mountains towards vastmark clans raise further support his cause raising warhost costly business mere coincidence princess talithlysaers beautiful headstrong wifeis taken captive held vast ransom master brigand forces light shadow circle feint drawing ever closer huge conflict background fellowship seven sorcerers koriani enchantresses watch plan wait
9780006483014|1996	The Once and Future King :: omnibus volume authors complete story arthurian epic which includes sword stone witch wood illmade knight candle wind published first time book merlyn
9780006483892|2003	Murder in LaMut :: available us first time second volume exceptional legends riftwar series from new york timesbestselling authors feist rosenberg
